Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY RURALWEST,T. MADDIKUNTA,2,COMMERCIAL,62,56,6728,180.11
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY TOWN,PEDDAPALLY (T ),2,COMMERCIAL,2086,1875,319244,4235.673
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY TOWN,RANGAMPALLY,2,COMMERCIAL,418,382,61129,1222.48
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY TOWN 2,CHANDAPALLI,2,COMMERCIAL,1,0,0,14.8
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY TOWN 2,CHANDAPALLY,2,COMMERCIAL,20,19,3921,45.78
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,THIMMAMPET,2,COMMERCIAL,37,33,5455,51.62
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,THOGARRI,2,COMMERCIAL,37,27,1515,34.1
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,ZEEDICAL,2,COMMERCIAL,5,5,171,9.0
WARANGAL,NARSAMPET,NARSAMPET(TOWN,NALLABELLY,ARESHANPALLY,2,COMMERCIAL,3,3,356,12.0
WARANGAL,NARSAMPET,NARSAMPET(TOWN,NALLABELLY,ARRAIAHPALLY,2,COMMERCIAL,7,7,96,9.5
WARANGAL,NARSAMPET,NARSAMPET(TOWN,NALLABELLY,ASHARAVELLY,2,COMMERCIAL,8,7,244,11.25
WARANGAL,NARSAMPET,NARSAMPET(TOWN,NALLABELLY,BOLLONPALLY,2,COMMERCIAL,23,18,753,32.86
WARANGAL,NARSAMPET,NARSAMPET(TOWN,NALLABELLY,BUCHIREDDY PALLY,2,COMMERCIAL,1,1,20,1.0
WARANGAL,NARSAMPET,NARSAMPET(TOWN,NALLABELLY,GANDHINAGAR,2,COMMERCIAL,3,2,49,2.24
WARANGAL,NARSAMPET,NARSAMPET(TOWN,NALLABELLY,GOLLA PALLY,2,COMMERCIAL,16,14,637,28.63
WARANGAL,NARSAMPET,NARSAMPET(TOWN,NALLABELLY,GOVINDAPURAM,2,COMMERCIAL,8,7,98,12.0
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,Gugulothu thanda,2,COMMERCIAL,1,1,4,1.0
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,Hatiya thanda,2,COMMERCIAL,1,1,3,1.0
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,JAMALPOOR,2,COMMERCIAL,9,9,597,14.1
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,KONKAPAKA,2,COMMERCIAL,50,43,4270,80.59
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,Malyathanda,2,COMMERCIAL,5,5,440,6.976
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,Mudethulathanda,2,COMMERCIAL,4,4,67,5.0
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,SOMARAM,2,COMMERCIAL,21,18,1263,28.75
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,Sri nagar,2,COMMERCIAL,6,6,346,7.0
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,Thurputhanda,2,COMMERCIAL,1,1,86,1.0
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,PARVATHAGIRI,ANNARAM SHARIFF,2,COMMERCIAL,205,173,21073,282.46
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,PARVATHAGIRI,Addabata thanda,2,COMMERCIAL,1,1,119,1.0
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,PARVATHAGIRI,BURGUMADLA,2,COMMERCIAL,35,23,6256,74.11
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,PARVATHAGIRI,Ck thanda,2,COMMERCIAL,2,2,14,2.0
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,PARVATHAGIRI,DOULATNAGAR,2,COMMERCIAL,17,14,491,16.3
WARANGAL,WARANGAL,WARANGAL,GORREKUNTA,DHARMARAM,2,COMMERCIAL,260,227,22273,536.822
WARANGAL,WARANGAL,WARANGAL,GORREKUNTA,GARIB NAGAR,2,COMMERCIAL,48,41,5018,88.54
WARANGAL,WARANGAL,WARANGAL,GORREKUNTA,GORREKUNTA,2,COMMERCIAL,205,154,54333,693.98
WARANGAL,WARANGAL,WARANGAL,GORREKUNTA,KEERTHI NAGAR,2,COMMERCIAL,116,107,8297,245.22
WARANGAL,WARANGAL,WARANGAL,GORREKUNTA,MOGILICHERLA,2,COMMERCIAL,127,95,8178,197.3
WARANGAL,WARANGAL,WARANGAL,GORREKUNTA,POTHARAJAPALLY,2,COMMERCIAL,36,29,6543,75.43
WARANGAL,WARANGAL,WARANGAL,STATION ROAD,BANDLISETTY,2,COMMERCIAL,283,228,45438,567.423
WARANGAL,WARANGAL,WARANGAL,STATION ROAD,BEET BAZAR,2,COMMERCIAL,211,154,14172,347.04
WARANGAL,WARANGAL,WARANGAL,STATION ROAD,CHARBOWLI,2,COMMERCIAL,342,274,38470,653.72
WARANGAL,WARANGAL,WARANGAL,STATION ROAD,G R GUTTA,2,COMMERCIAL,247,176,15961,423.73
WARANGAL,WARANGAL,WARANGAL,STATION ROAD,GIRMAJIPET,2,COMMERCIAL,167,138,9322,173.72
WARANGAL,WARANGAL,WARANGAL,STATION ROAD,GRAIN MARKET,2,COMMERCIAL,810,598,79497,1149.76
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,GIRNIBAI,2,COMMERCIAL,197,191,28484,401.39
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,SANGEM,NARLVAI,2,COMMERCIAL,7,7,564,12.75
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,SANGEM,NUMMADIVARAM,2,COMMERCIAL,12,12,998,27.93
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,SANGEM,Narsa nagar,2,COMMERCIAL,7,7,849,14.0
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,SANGEM,PALLARUGUDA,2,COMMERCIAL,44,40,5634,69.14
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,SANGEM,POCHAMMA THANDA,2,COMMERCIAL,2,2,1,2.0
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,SANGEM,SANGEM,2,COMMERCIAL,192,175,25449,289.225
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,SANGEM,THIMMAPUR (YELUGUR),2,COMMERCIAL,22,16,1334,35.75
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,SANGEM,VANJARAPALLI,2,COMMERCIAL,3,3,80,4.0
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,SANGEM,YELUGUR (RANGAMPET),2,COMMERCIAL,42,38,8808,86.75
WARANGAL,WARANGAL,SHAMBUNIPET,SHAMBUNIPET,VASANTHAPUR,2,COMMERCIAL,3,2,151,12.0
WARANGAL,WARANGAL,WARANGAL,A.J.MILLS,A.J.MILLS COLONY,2,COMMERCIAL,49,41,13121,149.32
WARANGAL,WARANGAL,WARANGAL,A.J.MILLS,ABBANIKUNTA,2,COMMERCIAL,208,186,18596,271.52
WARANGAL,WARANGAL,WARANGAL,A.J.MILLS,CHRITIAN COLONY,2,COMMERCIAL,205,165,37305,331.375
WARANGAL,WARANGAL,WARANGAL,A.J.MILLS,GRAIN MARKET,2,COMMERCIAL,330,226,94886,1061.44
WARANGAL,WARANGAL,WARANGAL,A.J.MILLS,JANPEERLU,2,COMMERCIAL,35,33,1996,77.0
WARANGAL,WARANGAL,WARANGAL,A.J.MILLS,KASIBUGGA-I,2,COMMERCIAL,558,498,56373,1023.84
WARANGAL,WARANGAL,WARANGAL,A.J.MILLS,KASIBUGGA-II,2,COMMERCIAL,611,547,60880,962.83
WARANGAL,WARANGAL,WARANGAL,A.J.MILLS,NOT AVAILABLE,2,COMMERCIAL,1,0,0,0.51
WARANGAL,WARANGAL,WARANGAL,A.J.MILLS,S R T COLONY,2,COMMERCIAL,150,125,13331,314.072
WARANGAL,WARANGAL,WARANGAL,A.J.MILLS,S.R.NAGAR,2,COMMERCIAL,52,47,4101,92.59
WARANGAL,WARANGAL,WARANGAL,A.J.MILLS,T R T COLONY,2,COMMERCIAL,62,59,5038,96.52
WARANGAL,WARANGAL,WARANGAL,FORT WARANGAL,A S REDDY NAGAR,2,COMMERCIAL,31,27,1844,45.87
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY RURALWEST,DEVUNIPALLY,2,COMMERCIAL,13,13,742,12.3
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY RURALWEST,GOPAIAHPALLI,2,COMMERCIAL,5,4,194,7.26
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY RURALWEST,KANGARTHY (K),2,COMMERCIAL,23,21,1720,40.78
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY RURALWEST,KASULAPALLY,2,COMMERCIAL,13,13,2914,36.74
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY RURALWEST,KURMAPALLY,2,COMMERCIAL,13,12,531,18.76
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY RURALWEST,NIMMANAPALLY,2,COMMERCIAL,14,14,1073,28.52
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY RURALWEST,NITTOR,2,COMMERCIAL,34,30,3733,58.88
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY RURALWEST,PALITHAM,2,COMMERCIAL,20,16,4850,42.74
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY RURALWEST,PEDDA BONKUR,2,COMMERCIAL,61,50,9256,197.48
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,MADHIRA MANDAPALLY,2,COMMERCIAL,7,6,345,11.46
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,MANDAPALLY,2,COMMERCIAL,24,10,732,19.856
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,MARRIPALLY,2,COMMERCIAL,14,11,496,17.36
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,MOHAMMADAPUR,2,COMMERCIAL,54,48,3652,81.87
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,NACHINAPALLY,2,COMMERCIAL,49,44,6121,67.38
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,NARAYANA THANDA,2,COMMERCIAL,2,2,155,2.0
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,PILLIGUNDLA THANDA,2,COMMERCIAL,2,2,27,4.0
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,PONAKAL,2,COMMERCIAL,11,10,516,20.16
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,RAJYATHANDA,2,COMMERCIAL,1,1,0,1.0
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,REKAMPALLY,2,COMMERCIAL,13,13,528,21.0
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,SANGEM,YELUGUR STATION,2,COMMERCIAL,13,10,1707,35.2
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,SANGEM,vrn thanda,2,COMMERCIAL,5,5,77,6.0
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,ANANTHARAM,2,COMMERCIAL,12,12,909,20.36
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,Bathu thanda-2,2,COMMERCIAL,1,1,2,1.0
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,CHINTANEKKONDA,2,COMMERCIAL,62,57,7789,95.832
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,CHOWTAPALLI,2,COMMERCIAL,50,45,6011,77.744
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,ENUGALLU,2,COMMERCIAL,109,95,11510,184.716
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,GOPANPALLI,2,COMMERCIAL,22,19,3071,41.63
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,GORUGUTTA THANDA,2,COMMERCIAL,1,1,1,1.0
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,GUNTURPALLY,2,COMMERCIAL,4,4,20,6.1
WARANGAL,WARANGAL,WARANGAL,FORT WARANGAL,CHINTAL,2,COMMERCIAL,241,220,25242,428.13
WARANGAL,WARANGAL,WARANGAL,FORT WARANGAL,EAST FORT,2,COMMERCIAL,76,62,13545,133.28
WARANGAL,WARANGAL,WARANGAL,FORT WARANGAL,MIDDLE FORT,2,COMMERCIAL,106,83,12030,263.09
WARANGAL,WARANGAL,WARANGAL,FORT WARANGAL,SHIVNAGAR-I,2,COMMERCIAL,303,275,22984,549.54
WARANGAL,WARANGAL,WARANGAL,FORT WARANGAL,SHIVNAGAR-II,2,COMMERCIAL,148,118,22724,278.03
WARANGAL,WARANGAL,WARANGAL,FORT WARANGAL,SHIVNAGAR-III,2,COMMERCIAL,132,110,23680,247.52
WARANGAL,WARANGAL,WARANGAL,FORT WARANGAL,STHAMBHAMPALLI,2,COMMERCIAL,565,519,60997,2430.646
WARANGAL,WARANGAL,WARANGAL,FORT WARANGAL,WEST FORT-I,2,COMMERCIAL,86,67,4928,93.33
WARANGAL,WARANGAL,WARANGAL,FORT WARANGAL,WEST FORT-II,2,COMMERCIAL,49,35,2154,77.48
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY RURALWEST,PEDDA KALAVALA,2,COMMERCIAL,159,148,19465,426.08
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY RURALWEST,PUTTAPALLY,2,COMMERCIAL,1,1,3,1.0
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY RURALWEST,RAGINEDU,2,COMMERCIAL,26,22,6937,56.36
WARANGAL,WARANGAL,SHAMBUNIPET,MAMNOOR,RAMAKRISHNAPURAM,2,COMMERCIAL,11,8,3099,14.37
WARANGAL,WARANGAL,SHAMBUNIPET,MAMNOOR,RAMGOPAL PUR,2,COMMERCIAL,33,32,6470,82.0
WARANGAL,WARANGAL,SHAMBUNIPET,MAMNOOR,THIMAPOOR,2,COMMERCIAL,337,277,54640,800.089
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY RURALEAST,GOLLA PALLI,2,COMMERCIAL,3,3,208,3.24
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY RURALEAST,GOUREDDIPET,2,COMMERCIAL,56,51,43779,210.842
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY RURALEAST,GURRAMPALLY,2,COMMERCIAL,15,13,393,17.664
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY RURALEAST,HANUMANTHAPET,2,COMMERCIAL,65,63,11227,174.99
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY RURALEAST,JAGANATHAPOOR,2,COMMERCIAL,2,2,11,8.0
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY RURALEAST,KOTHAPALLY,2,COMMERCIAL,34,28,3421,56.78
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY RURALEAST,MAREDIGONDA,2,COMMERCIAL,25,25,2893,32.05
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY RURALEAST,MOOLASALA,2,COMMERCIAL,33,29,3488,46.03
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY RURALEAST,MUKUNDAIAHPALLI,2,COMMERCIAL,1,1,1003,16.0
WARANGAL,NARSAMPET,NARSAMPET(TOWN,DUGGONDI,DUGGONDI(H.Q),2,COMMERCIAL,159,132,19066,329.942
WARANGAL,NARSAMPET,NARSAMPET(TOWN,DUGGONDI,GOLLAPALLY,2,COMMERCIAL,2,2,107,2.0
WARANGAL,NARSAMPET,NARSAMPET(TOWN,DUGGONDI,GOPALAPURAM,2,COMMERCIAL,5,2,98,4.78
WARANGAL,NARSAMPET,NARSAMPET(TOWN,DUGGONDI,GUDDELUGULAPALLY,2,COMMERCIAL,9,8,471,10.48
WARANGAL,NARSAMPET,NARSAMPET(TOWN,DUGGONDI,GUDIMAHESHWAR,2,COMMERCIAL,4,3,120,4.0
WARANGAL,NARSAMPET,NARSAMPET(TOWN,DUGGONDI,KESAVAPUR,2,COMMERCIAL,8,6,638,14.74
WARANGAL,NARSAMPET,NARSAMPET(TOWN,DUGGONDI,LAXMIPUR,2,COMMERCIAL,24,22,4879,37.031
WARANGAL,NARSAMPET,NARSAMPET(TOWN,DUGGONDI,MALLAMPALLY,2,COMMERCIAL,18,14,7833,50.98
WARANGAL,NARSAMPET,NARSAMPET(TOWN,DUGGONDI,MUDDUNUR,2,COMMERCIAL,34,31,4427,52.86
WARANGAL,NARSAMPET,NARSAMPET(TOWN,DUGGONDI,MYSAMPALLY,2,COMMERCIAL,14,13,834,16.53
WARANGAL,NARSAMPET,NARSAMPET(TOWN,DUGGONDI,REBALLY,2,COMMERCIAL,8,5,97,8.24
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,SANGEM,Balunayak thanda,2,COMMERCIAL,2,2,22,2.0
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,SANGEM,Bikojinayak thanda,2,COMMERCIAL,1,1,51,1.0
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,SANGEM,CHINTALPALLI,2,COMMERCIAL,22,17,5956,38.72
