Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,PALLEGUDEM,THEERDALA,2,COMMERCIAL,22,1,40.0,37.15
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,PALLEGUDEM,TNGOS COLONY,2,COMMERCIAL,39,37,3545.0,117.0
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,PALLEGUDEM,VALYATHANDA,2,COMMERCIAL,4,4,42.0,9.0
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,TIRUMALAYAPALEM,CHANDRU THANDA,2,COMMERCIAL,11,8,1991.0,18.65
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,TIRUMALAYAPALEM,DAMMAIGUDEM,2,COMMERCIAL,61,7,3288.0,128.686
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,TIRUMALAYAPALEM,GOLL THANDA,2,COMMERCIAL,32,26,1575.0,59.158
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,TIRUMALAYAPALEM,GOPALAPURAM,2,COMMERCIAL,6,1,0.0,12.55
JANGAON,JANGAON,DEVARUPPALA,SINGARAJPALLE,NEERMALA,2,COMMERCIAL,36,33,3366.0,44.45
JANGAON,JANGAON,DEVARUPPALA,SINGARAJPALLE,Nallakunta thanda,2,COMMERCIAL,1,1,0.0,1.0
JANGAON,JANGAON,DEVARUPPALA,SINGARAJPALLE,PEDDAMADUR,2,COMMERCIAL,29,25,5306.0,50.13
JANGAON,JANGAON,DEVARUPPALA,SINGARAJPALLE,RAMACHANDRAPOOR,2,COMMERCIAL,6,6,346.0,9.9
JANGAON,JANGAON,DEVARUPPALA,SINGARAJPALLE,RAMBHOJIGUDEM,2,COMMERCIAL,7,7,320.0,6.9
JANGAON,JANGAON,DEVARUPPALA,SINGARAJPALLE,RAMRAJPALLY,2,COMMERCIAL,18,14,482.0,29.47
JANGAON,JANGAON,DEVARUPPALA,SINGARAJPALLE,SINGARAJUPALLI,2,COMMERCIAL,83,78,8126.0,188.74
JANGAON,JANGAON,JANGAON,BACHANNAPET,ALIMPUR,2,COMMERCIAL,22,18,1884.0,30.96
JANGAON,JANGAON,JANGAON,BACHANNAPET,BACHANNAPET (HQ),2,COMMERCIAL,472,387,42739.0,917.22
JANGAON,JANGAON,JANGAON,BACHANNAPET,BANDA NAGARAM,2,COMMERCIAL,26,25,1021.0,29.906
JANGAON,JANGAON,JANGAON,BACHANNAPET,BASI REDDI PALLI,2,COMMERCIAL,8,7,548.0,10.2
KARIMNAGAR,HUZURABAD,JAMMIKUNTA,JAMMIKUNTA TOWN,PANCHAMUKHA HANUMAN TEMPLE ,2,COMMERCIAL,23,22,1575.0,40.29
KARIMNAGAR,HUZURABAD,JAMMIKUNTA,JAMMIKUNTA TOWN,SHALAWADA ,2,COMMERCIAL,55,55,4964.0,95.64
KARIMNAGAR,HUZURABAD,JAMMIKUNTA,JAMMIKUNTA TOWN,TEACHERS COLONY,2,COMMERCIAL,18,18,720.0,25.0
KARIMNAGAR,HUZURABAD,JAMMIKUNTA,JAMMIKUNTA TOWN,VEENAVANKA ROAD JAMMIKUNTA,2,COMMERCIAL,189,189,41955.0,369.45
KARIMNAGAR,HUZURABAD,JAMMIKUNTA,JAMMIKUNTA TOWN,VEGETABLE MARKET KORAPALY ROAD,2,COMMERCIAL,128,128,10925.0,208.2
KARIMNAGAR,HUZURABAD,JAMMIKUNTA,THANUGULA,BIZIGIRISHARIFF,2,COMMERCIAL,70,63,12803.0,170.72
KARIMNAGAR,KARIMNAGAR RURAL,ALUGUNOOR,ALUGUNUR,LMD COLONY,2,COMMERCIAL,50,50,4224.0,88.9
KARIMNAGAR,KARIMNAGAR RURAL,ALUGUNOOR,ALUGUNUR,MAHATHMA NAGAR,2,COMMERCIAL,255,248,29143.0,564.94
KARIMNAGAR,KARIMNAGAR RURAL,ALUGUNOOR,ALUGUNUR,MALLAPUR,2,COMMERCIAL,46,44,7080.0,77.44
KARIMNAGAR,KARIMNAGAR RURAL,ALUGUNOOR,ALUGUNUR,MANNEMPALLY,2,COMMERCIAL,38,29,3251.0,48.54
KARIMNAGAR,KARIMNAGAR RURAL,ALUGUNOOR,ALUGUNUR,PORANDLA,2,COMMERCIAL,60,6,4779.0,99.866
KARIMNAGAR,KARIMNAGAR RURAL,ALUGUNOOR,ALUGUNUR,THIMMAPUR,2,COMMERCIAL,231,191,56851.0,700.706
KARIMNAGAR,KARIMNAGAR RURAL,ALUGUNOOR,ALUGUNUR,VEDULAPALLY,2,COMMERCIAL,1,1,11.0,2.76
KARIMNAGAR,KARIMNAGAR RURAL,ALUGUNOOR,CHENJARLA,CHENJERLA,2,COMMERCIAL,160,122,18838.0,346.8
KARIMNAGAR,KARIMNAGAR RURAL,ALUGUNOOR,CHENJARLA,DEVAMPALLY,2,COMMERCIAL,33,1,2035.0,47.43
KARIMNAGAR,KARIMNAGAR RURAL,ALUGUNOOR,CHENJARLA,GANGIPALLY,2,COMMERCIAL,95,83,14899.0,148.25
KARIMNAGAR,KARIMNAGAR RURAL,Gangadhara,GUNDI,GOPALRAOPET,2,COMMERCIAL,1,0,0.0,1.0
KARIMNAGAR,KARIMNAGAR RURAL,Gangadhara,GUNDI,GUDELUGULA PALLY,2,COMMERCIAL,19,3,206.0,58.0
KARIMNAGAR,KARIMNAGAR RURAL,Gangadhara,GUNDI,GUNDI,2,COMMERCIAL,36,31,8288.0,96.48
KARIMNAGAR,KARIMNAGAR RURAL,Gangadhara,GUNDI,GUNDIGOPALRAOPET,2,COMMERCIAL,325,305,30894.0,605.31
KARIMNAGAR,KARIMNAGAR RURAL,Gangadhara,GUNDI,IPPLAGADDA H/O.GUNDI,2,COMMERCIAL,1,0,0.0,1.0
KARIMNAGAR,KARIMNAGAR RURAL,Gangadhara,GUNDI,KARUPAKULA VANIPALLY,2,COMMERCIAL,1,0,0.0,2.0
KARIMNAGAR,KARIMNAGAR RURAL,Gangadhara,GUNDI,KISTAMPALLY H/O.GUND,2,COMMERCIAL,1,1,157.0,1.0
KARIMNAGAR,KARIMNAGAR RURAL,Gangadhara,GUNDI,KISTAPOOR,2,COMMERCIAL,5,0,0.0,7.0
KARIMNAGAR,KARIMNAGAR RURAL,Gangadhara,GUNDI,KOKKARAKUNTA,2,COMMERCIAL,42,41,10376.0,62.42
KARIMNAGAR,KARIMNAGAR RURAL,Gangadhara,GUNDI,KONARAOPET H/O.GUNDI,2,COMMERCIAL,1,0,0.0,1.0
KHAMMAM,KHAMMAM,KHAMMAM TOWN 2,KHAMMAM URBAN,GOPALAPURAM,2,COMMERCIAL,228,215,73153.0,909.265
KHAMMAM,KHAMMAM,KHAMMAM TOWN 2,KHAMMAM URBAN,KHANAPURAM,2,COMMERCIAL,166,156,13114.0,345.81
KHAMMAM,KHAMMAM,KHAMMAM TOWN 2,KHAMMAM URBAN,KOTHAGUDEM,2,COMMERCIAL,78,71,7455.0,135.57
KHAMMAM,KHAMMAM,KHAMMAM TOWN 2,KHAMMAM URBAN,KOTHURU,2,COMMERCIAL,1,0,0.0,40.0
KHAMMAM,KHAMMAM,KHAMMAM TOWN 2,KHAMMAM URBAN,PUTTAKOTA,2,COMMERCIAL,28,19,4339.0,145.42
KHAMMAM,KHAMMAM,KHAMMAM TOWN 2,KHAMMAM URBAN,TEKULAPALLI,2,COMMERCIAL,1367,1290,502223.0,5936.496
KHAMMAM,KHAMMAM,KHAMMAM TOWN 2,KHAMMAM URBAN,V. VENKATAYA PALEM,2,COMMERCIAL,162,133,17811.0,339.865
KHAMMAM,KHAMMAM,KHAMMAM TOWN 2,KHAMMAM URBAN,VELUGUMATLA,2,COMMERCIAL,183,164,33925.0,660.006
KHAMMAM,KHAMMAM,KOTHALINGALA,KOTHALINGALA,JASTHI PALLY-KAM,2,COMMERCIAL,33,24,2169.0,50.42
KHAMMAM,KHAMMAM,KOTHALINGALA,KOTHALINGALA,JOGUGUDEM-KAM,2,COMMERCIAL,5,3,98.0,3.74
KHAMMAM,KHAMMAM,KOTHALINGALA,KOTHALINGALA,K KISTAPURAM-KAM,2,COMMERCIAL,21,20,973.0,36.85
KHAMMAM,KHAMMAM,KOTHALINGALA,KOTHALINGALA,KAME PALLI,2,COMMERCIAL,83,72,12156.0,158.07
KHAMMAM,KHAMMAM,KOTHALINGALA,KOTHALINGALA,KAPTAN BANJER-KAM,2,COMMERCIAL,8,6,209.0,12.24
KHAMMAM,KHAMMAM,KOTHALINGALA,KOTHALINGALA,KOTHA LINGALA-KAM,2,COMMERCIAL,75,65,11810.0,209.24
KHAMMAM,KHAMMAM,KOTHALINGALA,KOTHALINGALA,LALYA THANDA-KAM,2,COMMERCIAL,8,4,123.0,9.5
KHAMMAM,KHAMMAM,KOTHALINGALA,KOTHALINGALA,MADDULA PALLY-KAM,2,COMMERCIAL,72,55,9628.0,107.3
KHAMMAM,KHAMMAM,KOTHALINGALA,KOTHALINGALA,MARRI GUDEM-KAM,2,COMMERCIAL,1,1,138.0,2.0
KHAMMAM,KHAMMAM,KOTHALINGALA,KOTHALINGALA,MUCHARLA-KAM,2,COMMERCIAL,117,105,11441.0,203.239
KHAMMAM,KHAMMAM,RAGUNADAPALEM,MANCHUKONDA,CHIMMAPUDI,2,COMMERCIAL,76,65,6978.0,118.82
KHAMMAM,KHAMMAM,RAGUNADAPALEM,MANCHUKONDA,DONABANDA,2,COMMERCIAL,3,1,31.0,4.96
