Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
ADILABAD,ADILABAD,JAINATH,BELA,SAYEEDPUR,2,COMMERCIAL,22,21,1779,44.52
ADILABAD,ADILABAD,JAINATH,BELA,SHALITHANDA,2,COMMERCIAL,1,0,0,2.424
ADILABAD,ADILABAD,JAINATH,BELA,SHAMSHABAD,2,COMMERCIAL,3,3,60,3.69
ADILABAD,ADILABAD,JAINATH,BELA,SIRSINNA,2,COMMERCIAL,32,24,6918,64.079
ADILABAD,ADILABAD,JAINATH,BELA,SONKHAS,2,COMMERCIAL,12,8,550,16.88
ADILABAD,ADILABAD,JAINATH,BELA,TAKLI,2,COMMERCIAL,5,4,681,11.28
ADILABAD,ADILABAD,ADILABAD RURAL,BHEEMPUR,GOMUTHRI,2,COMMERCIAL,13,13,1872,24.468
ADILABAD,ADILABAD,ADILABAD RURAL,BHEEMPUR,GONA,2,COMMERCIAL,9,7,194,8.2
ADILABAD,ADILABAD,ADILABAD RURAL,BHEEMPUR,GUBDI,2,COMMERCIAL,5,4,21,7.24
ADILABAD,ADILABAD,ADILABAD RURAL,BHEEMPUR,GUMJALA,2,COMMERCIAL,1,1,1,1.0
ADILABAD,ADILABAD,ADILABAD RURAL,BHEEMPUR,INDURPELLY,2,COMMERCIAL,2,2,86,2.0
ADILABAD,ADILABAD,ADILABAD RURAL,BHEEMPUR,JALKURI,2,COMMERCIAL,2,2,117,3.0
ADILABAD,ADILABAD,ADILABAD RURAL,BHEEMPUR,KAMATWADA,2,COMMERCIAL,2,2,27,2.0
ADILABAD,ADILABAD,ADILABAD RURAL,BHEEMPUR,KARANJI (T),2,COMMERCIAL,26,23,1077,36.714
ADILABAD,ADILABAD,ADILABAD RURAL,BHEEMPUR,KARANWADI,2,COMMERCIAL,3,3,27,8.0
ADILABAD,ADILABAD,ADILABAD RURAL,BHEEMPUR,KHIRGUDA,2,COMMERCIAL,1,1,1,1.0
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,ANDHURGUDA,2,COMMERCIAL,1,1,117,1.0
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,BAZARHATHNOOR,2,COMMERCIAL,203,168,17498,237.067
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,BOLANPUR,2,COMMERCIAL,2,2,336,6.0
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,BOSRA,2,COMMERCIAL,9,5,64,17.608
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,BURKAPALLY,2,COMMERCIAL,1,1,44,1.0
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,BUTHAI (B),2,COMMERCIAL,21,17,3703,43.07
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,BUTHAI (K),2,COMMERCIAL,3,3,26,4.0
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,MORKHANDI,2,COMMERCIAL,12,8,1472,25.436
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,PIPPIRI,2,COMMERCIAL,36,24,505,43.84
