Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
WARANGAL,WARANGAL,SHAMBUNIPET,SHAMBUNIPET,DOOPAKUNTA,2,COMMERCIAL,12,9,476.0,16.29
WARANGAL,WARANGAL,SHAMBUNIPET,SHAMBUNIPET,FORT ROAD,2,COMMERCIAL,368,314,36588.0,549.645
WARANGAL,WARANGAL,SHAMBUNIPET,SHAMBUNIPET,KAMUNIPENTA-I,2,COMMERCIAL,5,4,533.0,6.02
WARANGAL,WARANGAL,SHAMBUNIPET,SHAMBUNIPET,KAMUNIPENTA-II,2,COMMERCIAL,14,11,435.0,18.375
WARANGAL,WARANGAL,SHAMBUNIPET,SHAMBUNIPET,KAREEMABAD-I,2,COMMERCIAL,44,23,19376.0,190.755
WARANGAL,WARANGAL,SHAMBUNIPET,SHAMBUNIPET,KAREEMABAD-II,2,COMMERCIAL,24,19,2971.0,36.43
WARANGAL,WARANGAL,SHAMBUNIPET,SHAMBUNIPET,ORUSU,2,COMMERCIAL,54,37,1837.0,56.96
WARANGAL,WARANGAL,SHAMBUNIPET,SHAMBUNIPET,RANGASAIPET-I,2,COMMERCIAL,215,189,14396.0,302.77
WARANGAL,WARANGAL,SHAMBUNIPET,SHAMBUNIPET,RANGASAIPET-II,2,COMMERCIAL,50,42,2892.0,60.97
WARANGAL,WARANGAL,SHAMBUNIPET,SHAMBUNIPET,S R R THOTA-I,2,COMMERCIAL,1,0,0.0,0.51
WARANGAL,WARANGAL,SHAMBUNIPET,SHAMBUNIPET,S R R THOTA-II,2,COMMERCIAL,1,1,550.0,1.0
WARANGAL,WARANGAL,SHAMBUNIPET,SHAMBUNIPET,SHAMBHUNIPET,2,COMMERCIAL,1049,942,122848.0,1825.234
WARANGAL,WARANGAL,SHAMBUNIPET,SHAMBUNIPET,VASANTHAPUR,2,COMMERCIAL,2,2,95.0,10.0
WARANGAL,WARANGAL,WARANGAL,A.J.MILLS,A.J.MILLS COLONY,2,COMMERCIAL,56,53,8591.0,173.32
WARANGAL,WARANGAL,WARANGAL,A.J.MILLS,ABBANIKUNTA,2,COMMERCIAL,190,167,16438.0,225.97
WARANGAL,WARANGAL,WARANGAL,A.J.MILLS,CHRITIAN COLONY,2,COMMERCIAL,177,141,19349.0,249.105
WARANGAL,WARANGAL,WARANGAL,A.J.MILLS,GRAIN MARKET,2,COMMERCIAL,321,223,82447.0,1013.44
WARANGAL,WARANGAL,WARANGAL,A.J.MILLS,JANPEERLU,2,COMMERCIAL,22,22,1331.0,45.0
WARANGAL,WARANGAL,WARANGAL,A.J.MILLS,KASIBUGGA-I,2,COMMERCIAL,505,448,41267.0,793.65
WARANGAL,WARANGAL,WARANGAL,A.J.MILLS,KASIBUGGA-II,2,COMMERCIAL,566,514,49845.0,811.49
WARANGAL,WARANGAL,WARANGAL,A.J.MILLS,NOT AVAILABLE,2,COMMERCIAL,1,0,0.0,0.51
WARANGAL,WARANGAL,WARANGAL,A.J.MILLS,S R T COLONY,2,COMMERCIAL,124,102,10273.0,238.172
WARANGAL,WARANGAL,WARANGAL,A.J.MILLS,S.R.NAGAR,2,COMMERCIAL,42,38,2177.0,72.57
WARANGAL,WARANGAL,WARANGAL,A.J.MILLS,T R T COLONY,2,COMMERCIAL,54,52,4187.0,75.94
WARANGAL,WARANGAL,WARANGAL,FORT WARANGAL,A S REDDY NAGAR,2,COMMERCIAL,26,22,1748.0,26.27
WARANGAL,WARANGAL,WARANGAL,FORT WARANGAL,CHINTAL,2,COMMERCIAL,205,185,18686.0,334.36
WARANGAL,WARANGAL,WARANGAL,FORT WARANGAL,EAST FORT,2,COMMERCIAL,70,56,13977.0,118.28
WARANGAL,WARANGAL,WARANGAL,FORT WARANGAL,MIDDLE FORT,2,COMMERCIAL,92,70,7344.0,236.6
WARANGAL,WARANGAL,WARANGAL,FORT WARANGAL,SHIVNAGAR-I,2,COMMERCIAL,267,243,20172.0,454.93
WARANGAL,WARANGAL,WARANGAL,FORT WARANGAL,SHIVNAGAR-II,2,COMMERCIAL,119,92,17124.0,189.16
