Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
WARANGAL,WARANGAL,WARANGAL,FORT WARANGAL,MIDDLE FORT,2,COMMERCIAL,103,82,10281.0,255.6
WARANGAL,WARANGAL,WARANGAL,FORT WARANGAL,SHIVNAGAR-I,2,COMMERCIAL,287,263,17570.0,508.3
WARANGAL,WARANGAL,WARANGAL,FORT WARANGAL,SHIVNAGAR-II,2,COMMERCIAL,142,115,16264.0,262.57
WARANGAL,WARANGAL,WARANGAL,FORT WARANGAL,SHIVNAGAR-III,2,COMMERCIAL,132,110,16081.0,247.52
WARANGAL,WARANGAL,WARANGAL,FORT WARANGAL,STHAMBHAMPALLI,2,COMMERCIAL,551,510,51660.0,2396.646
WARANGAL,WARANGAL,WARANGAL,FORT WARANGAL,WEST FORT-I,2,COMMERCIAL,81,62,2186.0,88.8
WARANGAL,WARANGAL,WARANGAL,FORT WARANGAL,WEST FORT-II,2,COMMERCIAL,49,35,1091.0,78.97
WARANGAL,WARANGAL,WARANGAL,GORREKUNTA,DHARMARAM,2,COMMERCIAL,256,227,20068.0,527.312
PEDDAPALLY,MANTHANI,RAMAGUNDAM,BASANTHNAGAR,BODAGUTTAPALLY,2,COMMERCIAL,161,156,46853.0,408.775
PEDDAPALLY,MANTHANI,RAMAGUNDAM,BASANTHNAGAR,E THAKKALAPALLI,2,COMMERCIAL,38,36,5085.0,77.429
PEDDAPALLY,MANTHANI,RAMAGUNDAM,BASANTHNAGAR,ELKALAPALLY,2,COMMERCIAL,17,15,750.0,19.474
PEDDAPALLY,MANTHANI,RAMAGUNDAM,BASANTHNAGAR,GUDIPALLY,2,COMMERCIAL,17,17,804.0,23.71
PEDDAPALLY,MANTHANI,RAMAGUNDAM,BASANTHNAGAR,GUNTURPALLY,2,COMMERCIAL,8,7,573.0,12.018
PEDDAPALLY,MANTHANI,RAMAGUNDAM,BASANTHNAGAR,JAYYARAM,2,COMMERCIAL,23,21,4869.0,43.32
