Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
ADILABAD,UTNOOR,UTNOOR,INDERVELLY,HARAKAPOOR,2,COMMERCIAL,7,7,726,17.64
ASIFABAD,ASIFABAD,ASIFABAD,ASIFABAD (RURAL),CHERRAKUNTA,2,COMMERCIAL,30,26,7779,44.886
ASIFABAD,ASIFABAD,ASIFABAD,ASIFABAD (RURAL),CHILATI GUDA,2,COMMERCIAL,1,0,0,0.24
ASIFABAD,ASIFABAD,ASIFABAD,ASIFABAD (RURAL),CHINTHAGUDA(ASF),2,COMMERCIAL,1,1,0,1.0
ASIFABAD,ASIFABAD,ASIFABAD,ASIFABAD (RURAL),CHOR PALLY,2,COMMERCIAL,14,12,3279,29.66
ASIFABAD,ASIFABAD,ASIFABAD,ASIFABAD (RURAL),DADPAPOOR,2,COMMERCIAL,1,1,109,2.888
ASIFABAD,ASIFABAD,ASIFABAD,ASIFABAD (RURAL),DAMPUR,2,COMMERCIAL,1,1,1605,5.0
ASIFABAD,ASIFABAD,ASIFABAD,ASIFABAD (RURAL),EDULAWADA,2,COMMERCIAL,6,6,481,8.0
ASIFABAD,ASIFABAD,ASIFABAD,ASIFABAD (RURAL),GOLLAGUDA  H/O. EDULAWADA,2,COMMERCIAL,5,4,361,5.24
ASIFABAD,ASIFABAD,ASIFABAD,ASIFABAD (RURAL),GUDHENGHAT,2,COMMERCIAL,2,0,0,0.99
ASIFABAD,ASIFABAD,ASIFABAD RURAL,KERAMERI,KERAMERI,2,COMMERCIAL,306,254,24404,339.343
ASIFABAD,ASIFABAD,ASIFABAD RURAL,KERAMERI,KESULAGUDA,2,COMMERCIAL,4,3,102,5.0
ASIFABAD,ASIFABAD,ASIFABAD RURAL,KERAMERI,KHARI,2,COMMERCIAL,5,5,420,6.5
ASIFABAD,ASIFABAD,ASIFABAD RURAL,KERAMERI,KOLAM KATHARI,2,COMMERCIAL,5,4,5464,27.0
ASIFABAD,ASIFABAD,ASIFABAD RURAL,KERAMERI,KOTARI,2,COMMERCIAL,2,2,1873,11.0
ASIFABAD,ASIFABAD,ASIFABAD RURAL,KERAMERI,METAPIPRI,2,COMMERCIAL,5,5,426,1.96
ASIFABAD,ASIFABAD,ASIFABAD RURAL,KERAMERI,MODI,2,COMMERCIAL,9,7,449,6.35
ASIFABAD,ASIFABAD,ASIFABAD RURAL,KERAMERI,NAGAL GONDI,2,COMMERCIAL,1,1,52,0.24
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,REGONDA,REPAKA,2,COMMERCIAL,53,22,5203,66.28
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,REGONDA,REPAKKAPALLY,2,COMMERCIAL,7,6,377,16.0
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,REGONDA,RUPUREDDY PALLY,2,COMMERCIAL,4,4,166,5.998
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,REGONDA,SULTANPUR,2,COMMERCIAL,14,12,408,17.199
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,REGONDA,THIRMALGIRI,2,COMMERCIAL,27,23,3685,52.1
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,REGONDA,VENKATESWARAPALLI-SP,2,COMMERCIAL,15,15,497,17.79
BHUPALAPALLY,BHUPALAPALLY,CHITYAL,CHITYAL,ANDUKUTHANDA,2,COMMERCIAL,6,5,197,9.0
BHUPALAPALLY,BHUPALAPALLY,KATARAM,MAHAMUTHARAM,BOGGULAPALLY,2,COMMERCIAL,4,3,2695,16.0
BHUPALAPALLY,BHUPALAPALLY,KATARAM,MAHAMUTHARAM,BORLAGUDEM,2,COMMERCIAL,33,32,2430,41.67
BHUPALAPALLY,BHUPALAPALLY,KATARAM,MAHAMUTHARAM,DOBBAKAPALEM,2,COMMERCIAL,2,2,24,4.0
BHUPALAPALLY,BHUPALAPALLY,KATARAM,MAHAMUTHARAM,DUMPALAPALLY,2,COMMERCIAL,1,1,33,2.0
BHUPALAPALLY,BHUPALAPALLY,KATARAM,MAHAMUTHARAM,GANDIKAMARAM,2,COMMERCIAL,3,3,112,20.5
BHUPALAPALLY,BHUPALAPALLY,KATARAM,MAHAMUTHARAM,JEELA PALLY,2,COMMERCIAL,2,2,1,19.0
BHUPALAPALLY,BHUPALAPALLY,KATARAM,MAHAMUTHARAM,KANUKUNOOR,2,COMMERCIAL,3,3,1129,10.0
BHUPALAPALLY,BHUPALAPALLY,KATARAM,MAHAMUTHARAM,KONAMPET,2,COMMERCIAL,3,1,87,9.0
BHUPALAPALLY,BHUPALAPALLY,KATARAM,MAHAMUTHARAM,KORLAKUNTA,2,COMMERCIAL,14,11,819,20.68
BHUPALAPALLY,BHUPALAPALLY,KATARAM,MAHAMUTHARAM,KOTHAREGULAGUDEM,2,COMMERCIAL,3,3,364,3.24
BHUPALAPALLY,MULUGU,MULUG,MULUGU,GATTAMPALLI,2,COMMERCIAL,18,17,14676,96.03
BHUPALAPALLY,MULUGU,MULUG,MULUGU,INCHERLA,2,COMMERCIAL,45,37,14780,173.76
BHUPALAPALLY,MULUGU,MULUG,MULUGU,JAGGANNAPETA,2,COMMERCIAL,12,2,2315,20.5
BHUPALAPALLY,MULUGU,MULUG,MULUGU,JANGALAPALLI,2,COMMERCIAL,132,96,26963,210.86
BHUPALAPALLY,MULUGU,MULUG,MULUGU,JEEVANTHARAOPALLY,2,COMMERCIAL,7,5,266,6.25
