Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
NIZAMABAD,NIZAMABAD,NAVIPET,NAVIPET,ABHANGAPATNAM,2,COMMERCIAL,29,22,2221.0,44.258
NIZAMABAD,NIZAMABAD,NAVIPET,NAVIPET,FATHE NAGAR,2,COMMERCIAL,12,9,1126.0,12.3
NIZAMABAD,NIZAMABAD,NAVIPET,NAVIPET,HANMAN FORM,2,COMMERCIAL,9,8,271.0,27.26
NIZAMABAD,NIZAMABAD,NAVIPET,NAVIPET,KOSLY,2,COMMERCIAL,101,89,9115.0,149.11
NIZAMABAD,NIZAMABAD,NAVIPET,NAVIPET,LAXMIKISSAN FORM,2,COMMERCIAL,15,12,866.0,17.3
NIZAMABAD,NIZAMABAD,NAVIPET,NAVIPET,MADDEPALLY,2,COMMERCIAL,3,3,25.0,2.26
NIZAMABAD,NIZAMABAD,NAVIPET,NAVIPET,MATTAYA FORM THANDA,2,COMMERCIAL,6,6,276.0,8.139
NIZAMABAD,NIZAMABAD,NAVIPET,NAVIPET,MITTAPOOR,2,COMMERCIAL,6,5,1122.0,14.258
NIZAMABAD,NIZAMABAD,NAVIPET,NAVIPET,NAGAPOOR,2,COMMERCIAL,38,33,5467.0,54.56
NIZAMABAD,NIZAMABAD,NAVIPET,NAVIPET,NANDIGOAN,2,COMMERCIAL,13,12,500.0,17.979
PEDDAPALLY,MANTHANI,Manthani,BEGAMPET,SINGAREDDIPALLY,2,COMMERCIAL,17,11,996.0,12.44
PEDDAPALLY,MANTHANI,Manthani,BEGAMPET,SUNDILLA,2,COMMERCIAL,36,4,3810.0,62.93
PEDDAPALLY,MANTHANI,Manthani,EKLASHAPUR,ADIVISOMENPALLY,2,COMMERCIAL,9,7,1452.0,21.3
PEDDAPALLY,MANTHANI,Manthani,EKLASHAPUR,AKKAPALLY,2,COMMERCIAL,3,1,5.0,3.0
PEDDAPALLY,MANTHANI,Manthani,EKLASHAPUR,ARENDA,2,COMMERCIAL,20,15,1996.0,34.56
PEDDAPALLY,MANTHANI,Manthani,EKLASHAPUR,BATPALLY,2,COMMERCIAL,8,8,1336.0,17.24
PEDDAPALLY,MANTHANI,Manthani,EKLASHAPUR,BITPALLY,2,COMMERCIAL,8,7,683.0,21.0
PEDDAPALLY,MANTHANI,Manthani,EKLASHAPUR,CHINNA ODELLA,2,COMMERCIAL,3,3,293.0,4.9
PEDDAPALLY,PEDDAPALLY,DHARMARAM,KHILAVANAPARTHY,KHILAVANAPARTHY  (REC)        ,2,COMMERCIAL,44,40,2576.0,91.01
PEDDAPALLY,PEDDAPALLY,DHARMARAM,KHILAVANAPARTHY,KOTHAPALLY(New),2,COMMERCIAL,4,4,151.0,3.962
PEDDAPALLY,PEDDAPALLY,DHARMARAM,KHILAVANAPARTHY,MYADARAM      ,2,COMMERCIAL,88,76,13936.0,275.878
PEDDAPALLY,PEDDAPALLY,DHARMARAM,KHILAVANAPARTHY,NARSIMHULAPALLI,2,COMMERCIAL,13,12,399.0,12.972
PEDDAPALLY,PEDDAPALLY,DHARMARAM,KHILAVANAPARTHY,PAIDICHINTHALA PALLY  (REC)   ,2,COMMERCIAL,4,3,45.0,6.0
PEDDAPALLY,PEDDAPALLY,DHARMARAM,KHILAVANAPARTHY,RACHAPALLY (A) (REC)          ,2,COMMERCIAL,15,14,3016.0,21.8
PEDDAPALLY,PEDDAPALLY,DHARMARAM,KHILAVANAPARTHY,RAMAIAHPALLY,2,COMMERCIAL,5,4,78.0,9.26
PEDDAPALLY,PEDDAPALLY,DHARMARAM,KHILAVANAPARTHY,SAYAMPET   (REC)              ,2,COMMERCIAL,10,9,1547.0,17.26
PEDDAPALLY,PEDDAPALLY,SULTHANABAD,SULTHANABAD,KODURPAKA     ,2,COMMERCIAL,12,9,3335.0,54.0
PEDDAPALLY,PEDDAPALLY,SULTHANABAD,SULTHANABAD,NARAYANPOOR   ,2,COMMERCIAL,22,20,1850.0,40.26
PEDDAPALLY,PEDDAPALLY,SULTHANABAD,SULTHANABAD,POOSALA       ,2,COMMERCIAL,92,78,11829.0,296.48
PEDDAPALLY,PEDDAPALLY,SULTHANABAD,SULTHANABAD,SREERAMULAPALLY               ,2,COMMERCIAL,1,1,112.0,1.0
PEDDAPALLY,PEDDAPALLY,SULTHANABAD,SULTHANABAD,SUGLAMPALLY   ,2,COMMERCIAL,31,28,6571.0,117.82
PEDDAPALLY,PEDDAPALLY,SULTHANABAD,SULTHANABAD,SULTANABAD    ,2,COMMERCIAL,1089,981,114876.0,2080.456
WARANGAL,NARSAMPET,NARSAMPET(R),KHANAPUR,AINEPALLI,2,COMMERCIAL,10,5,3521.0,44.4
WARANGAL,NARSAMPET,NARSAMPET(R),KHANAPUR,AMRU THANDA,2,COMMERCIAL,4,2,252.0,5.43
WARANGAL,NARSAMPET,NARSAMPET(R),KHANAPUR,ASHOK NAGAR,2,COMMERCIAL,101,80,9203.0,147.9
WARANGAL,NARSAMPET,NARSAMPET(R),KHANAPUR,AYODHYANAGAR,2,COMMERCIAL,12,11,940.0,12.4
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,Ajmeera mangya thanda,2,COMMERCIAL,2,2,15.0,2.0
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,BANZORA PALLY,2,COMMERCIAL,27,21,2474.0,38.29
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,BOLLIKONDA,2,COMMERCIAL,14,13,904.0,31.06
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,CHANDRRU KONDA,2,COMMERCIAL,67,57,9097.0,109.68
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,CHINNA KORPOLE,2,COMMERCIAL,14,11,594.0,17.14
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,Charvu mundari thanda,2,COMMERCIAL,2,2,17.0,2.0
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,DEEKSHA KUNTA,2,COMMERCIAL,46,3,5070.0,64.19
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,Devuni thanda,2,COMMERCIAL,2,2,66.0,2.0
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,GOTLA KONDA,2,COMMERCIAL,4,0,0.0,7.0
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,GUNDRAPALLY,2,COMMERCIAL,28,21,1990.0,37.37
