Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,ASWARAOPETA,ASWARAOPET,NALLA PAD,2,COMMERCIAL,1,1,150.0,2.0
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,ASWARAOPETA,ASWARAOPET,NARAMVARIGUDEM,2,COMMERCIAL,68,7,4921.0,136.96
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,ASWARAOPETA,ASWARAOPET,PAPIDIGUDEM,2,COMMERCIAL,1,1,0.0,0.26
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,ASWARAOPETA,ASWARAOPET,PERAIGUDEM,2,COMMERCIAL,137,125,24832.0,351.26
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,ASWARAOPETA,ASWARAOPET,VEDANTAPURAM,2,COMMERCIAL,4,2,7.0,6.0
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,ASWARAOPETA,ASWARAOPET,VOOTALAPALLY,2,COMMERCIAL,24,22,5989.0,60.48
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,ASWARAOPETA,DAMMAPETA,ALLIPALLY,2,COMMERCIAL,9,9,1545.0,15.48
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,ASWARAOPETA,DAMMAPETA,ANKAMPALEM,2,COMMERCIAL,40,32,8393.0,86.2
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,ASWARAOPETA,DAMMAPETA,BALARAJGUDEM,2,COMMERCIAL,7,6,369.0,6.342
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,ASWARAOPETA,DAMMAPETA,CHEPURIGUDEM,2,COMMERCIAL,2,2,195.0,5.0
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,ASWARAOPETA,DAMMAPETA,CHINAGOLLAGUDEM,2,COMMERCIAL,4,0,0.0,4.26
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,ASWARAOPETA,DAMMAPETA,DAMMAPET,2,COMMERCIAL,537,486,52536.0,1137.76
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,ASWARAOPETA,DAMMAPETA,GANDHINAGARAM,2,COMMERCIAL,6,6,3845.0,34.0
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,ASWARAOPETA,DAMMAPETA,GOPALAPURAM,2,COMMERCIAL,8,1,104.0,19.0
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,ASWARAOPETA,DAMMAPETA,GURUVAIGUDEM,2,COMMERCIAL,4,2,926.0,21.0
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,ASWARAOPETA,DAMMAPETA,JAGGARAM,2,COMMERCIAL,16,12,682.0,28.51
ADILABAD,ADILABAD,ADILABAD RURAL,THALAMADUGU,KOTHUR,2,COMMERCIAL,8,8,630.0,12.999
ADILABAD,ADILABAD,ADILABAD RURAL,THALAMADUGU,KUCHLAPUR,2,COMMERCIAL,45,42,9266.0,71.337
ADILABAD,ADILABAD,ADILABAD RURAL,THALAMADUGU,LACHAMPUR,2,COMMERCIAL,2,2,36.0,2.0
ADILABAD,ADILABAD,ADILABAD RURAL,THALAMADUGU,LALGADA,2,COMMERCIAL,5,4,84.0,7.46
