Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
KHAMMAM,SATHUPALLY,THALLADA,KURNAVALLY,MUDDUNURU,2,COMMERCIAL,23,0,0.0,24.75
KHAMMAM,SATHUPALLY,THALLADA,KURNAVALLY,NARAYANA BANZAR,2,COMMERCIAL,2,0,0.0,2.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,ANNASAGAR,2,COMMERCIAL,12,6,504.0,6.134
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,BRAHAMANPALLI,2,COMMERCIAL,1,1,1012.0,10.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,REPALLEWADA,2,COMMERCIAL,3,0,0.0,1.811
KHAMMAM,SATHUPALLY,THALLADA,THALLADA,BILLUPADU,2,COMMERCIAL,25,20,7822.0,32.309
KHAMMAM,SATHUPALLY,THALLADA,THALLADA,GANDHINAGAR THANDA,2,COMMERCIAL,2,1,2143.0,3.94
KHAMMAM,SATHUPALLY,THALLADA,THALLADA,GOLLA GUDEM,2,COMMERCIAL,11,10,1936.0,12.151
KHAMMAM,SATHUPALLY,THALLADA,THALLADA,GOPALAPETA,2,COMMERCIAL,10,7,649.0,12.107
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,MALLAIPALLY,2,COMMERCIAL,3,1,907.0,26.26
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,LINGAMPALLI (K),2,COMMERCIAL,6,1,610.0,4.104
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,YERRARAM,2,COMMERCIAL,1,1,1123.0,10.0
KHAMMAM,SATHUPALLY,THALLADA,THALLADA,THALLADA,2,COMMERCIAL,421,373,74208.0,718.835
KHAMMAM,SATHUPALLY,THALLADA,THALLADA,VENGANNAPET,2,COMMERCIAL,14,0,0.0,24.832
NIRMAL,NIRMAL,NIRMAL,NIRMAL - TOWN,NIRMALTOWN- I,2,COMMERCIAL,4118,3465,764633.0,5726.927
NIRMAL,NIRMAL,NIRMAL,NIRMAL-TOWN2,NIRMAL (T),2,COMMERCIAL,2488,2322,502762.0,4494.424
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,TIMMAREDDIPET,2,COMMERCIAL,11,2,3902.0,28.598
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,2,COMMERCIAL,959,728,135425.0,1376.884
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,VENKAMPALLI,2,COMMERCIAL,1,1,86.0,1.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,JANGAMIPALLI,2,COMMERCIAL,4,1,4266.0,11.89
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,LAXMAPOOR,2,COMMERCIAL,7,2,2870.0,25.831
NIRMAL,NIRMAL,NIRMAL,SOAN,VELMAL (LOCAL),2,COMMERCIAL,4,0,0.0,5.75
NIRMAL,NIRMAL,NIRMAL RURAL,DILWARPUR,ANJANI,2,COMMERCIAL,3,3,0.0,6.0
NIRMAL,NIRMAL,NIRMAL RURAL,DILWARPUR,BANSAPALLY,2,COMMERCIAL,4,0,0.0,5.24
NIRMAL,NIRMAL,NIRMAL RURAL,DILWARPUR,CHARLAPALLY,2,COMMERCIAL,2,1,4356.0,21.9
NIRMAL,NIRMAL,NIRMAL RURAL,DILWARPUR,DARYPUR,2,COMMERCIAL,1,0,0.0,2.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,MATOOR,2,COMMERCIAL,2,1,100.0,0.52
NIRMAL,NIRMAL,NIRMAL,SOAN,SOAN,2,COMMERCIAL,91,72,16909.0,172.634
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,ADELI,2,COMMERCIAL,9,2,1369.0,13.3
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,BEERVELLY,2,COMMERCIAL,47,36,10346.0,69.41
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,MAL THUMMEDA,2,COMMERCIAL,27,2,2253.0,28.764
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,NAGIREDDIPET,2,COMMERCIAL,311,265,27058.0,297.358
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,JAAM,2,COMMERCIAL,49,38,6958.0,57.566
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,JOULA,2,COMMERCIAL,3,3,259.0,2.24
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,KANKATI,2,COMMERCIAL,2,2,29.0,2.0
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,KOUTLA(B),2,COMMERCIAL,22,2,5640.0,28.65
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,KUPTI,2,COMMERCIAL,2,1,385.0,7.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,ADVILINGAL,2,COMMERCIAL,4,0,0.0,4.37
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,BHIKNOOR,2,COMMERCIAL,6,4,3865.0,14.852
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,JANKAMPALLY(J),2,COMMERCIAL,6,1,99.0,8.19
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,SARANGAPUR,2,COMMERCIAL,146,112,25580.0,218.836
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,SWARNA,2,COMMERCIAL,49,2,68.0,105.93
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,THANDRA(G),2,COMMERCIAL,9,6,3697.0,21.18
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,VANJAR,2,COMMERCIAL,11,1,3678.0,24.06
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,LINGAREDDIPET,2,COMMERCIAL,31,2,131.0,24.546
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,MATHMAL,2,COMMERCIAL,8,7,2478.0,14.258
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,POSANPALLY,2,COMMERCIAL,2,1,1.0,1.422
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,RAMAKKAPALLI,2,COMMERCIAL,2,1,2306.0,15.83
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,WADALPARTHI,2,COMMERCIAL,4,0,0.0,5.715
NIZAMABAD,NIZAMABAD,NIZAMABAD - TOWN,DISTIBUTION-I,L3,2,COMMERCIAL,432,351,71028.0,572.71
NIZAMABAD,NIZAMABAD,NIZAMABAD - TOWN,DISTIBUTION-I,M1,2,COMMERCIAL,768,688,90596.0,1236.503
NIZAMABAD,NIZAMABAD,NIZAMABAD - TOWN,DISTRIBUTION-IV,BORGAON (P),2,COMMERCIAL,17,2,0.0,17.84
NIZAMABAD,NIZAMABAD,NIZAMABAD - TOWN,DISTRIBUTION-IV,L7,2,COMMERCIAL,466,451,145353.0,1276.752
NIZAMABAD,NIZAMABAD,NIZAMABAD - TOWN,DISTRIBUTION-IV,M2,2,COMMERCIAL,670,511,84240.0,1154.64
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,GANDHIMASANIPET,2,COMMERCIAL,22,16,4514.0,58.499
WARANGAL,WARANGAL,MULUGU ROAD,AREPALLY,AREPALLI,2,COMMERCIAL,209,177,86352.0,651.99
WARANGAL,WARANGAL,MULUGU ROAD,AREPALLY,ENUMAMULA,2,COMMERCIAL,119,100,17594.0,217.97
WARANGAL,WARANGAL,MULUGU ROAD,AREPALLY,KOTHAPET,2,COMMERCIAL,10,10,4857.0,34.2
WARANGAL,WARANGAL,MULUGU ROAD,AREPALLY,MUSALAMMAKUNTA,2,COMMERCIAL,126,125,18122.0,140.44
WARANGAL,WARANGAL,MULUGU ROAD,AREPALLY,PAIDEPALLI,2,COMMERCIAL,190,142,42898.0,483.855
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,SABDALPOOR,2,COMMERCIAL,2,0,0.0,1.26
WARANGAL,WARANGAL,MULUGU ROAD,DESAIPET,BALASANTHANAGAR,2,COMMERCIAL,127,111,9399.0,192.29
