Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,PATHIPAKA,2,COMMERCIAL,20,18,981,40.944
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,PEDDA KORPOLE,2,COMMERCIAL,68,50,7472,110.93
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,Pittakalabodu thanda,2,COMMERCIAL,3,3,247,3.0
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,REDLA WADA,2,COMMERCIAL,84,69,13201,140.07
WARANGAL,WARANGAL,MULUGU ROAD,AREPALLY,AREPALLI,2,COMMERCIAL,273,228,74697,883.822
WARANGAL,WARANGAL,MULUGU ROAD,AREPALLY,ENUMAMULA,2,COMMERCIAL,155,115,14766,328.44
WARANGAL,WARANGAL,MULUGU ROAD,AREPALLY,KOTHAPET,2,COMMERCIAL,19,17,4490,50.07
WARANGAL,WARANGAL,MULUGU ROAD,AREPALLY,MUSALAMMAKUNTA,2,COMMERCIAL,233,228,18551,431.94
WARANGAL,WARANGAL,MULUGU ROAD,AREPALLY,PAIDEPALLI,2,COMMERCIAL,306,241,41661,865.365
WARANGAL,WARANGAL,MULUGU ROAD,AREPALLY,REDDYPALEM,2,COMMERCIAL,320,241,31910,703.05
WARANGAL,WARANGAL,MULUGU ROAD,DESAIPET,BALASANTHANAGAR,2,COMMERCIAL,195,168,8905,407.884
WARANGAL,WARANGAL,MULUGU ROAD,DESAIPET,DESAIPET,2,COMMERCIAL,361,268,22689,697.169
WARANGAL,WARANGAL,MULUGU ROAD,DESAIPET,L B NAGAR,2,COMMERCIAL,1041,901,178893,2807.39
WARANGAL,WARANGAL,MULUGU ROAD,DESAIPET,MANDI BAZAR,2,COMMERCIAL,214,170,26102,288.14
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,PALLEGUDEM,MADDIVARIGUDEM,2,COMMERCIAL,3,3,478,4.55
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,PALLEGUDEM,MANGALIGUDEM,2,COMMERCIAL,88,74,14311,175.19
