Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
KARIMNAGAR,KARIMNAGAR RURAL,NUSTHULAPUR,INDURTHI,GAGIREDDYPALLY,2,COMMERCIAL,20,17,938.0,25.688
KARIMNAGAR,KARIMNAGAR RURAL,NUSTHULAPUR,INDURTHI,GUNUKULAPALLI,2,COMMERCIAL,8,0,0.0,10.0
KARIMNAGAR,KARIMNAGAR RURAL,NUSTHULAPUR,INDURTHI,INDURTHY,2,COMMERCIAL,120,96,14325.0,181.955
KARIMNAGAR,KARIMNAGAR RURAL,NUSTHULAPUR,INDURTHI,KONDAPUR,2,COMMERCIAL,38,4,1022.0,48.434
KARIMNAGAR,KARIMNAGAR RURAL,NUSTHULAPUR,INDURTHI,NAVABPET,2,COMMERCIAL,88,79,8339.0,114.76
KARIMNAGAR,KARIMNAGAR RURAL,NUSTHULAPUR,INDURTHI,OGULAPUR,2,COMMERCIAL,18,13,717.0,19.67
KARIMNAGAR,KARIMNAGAR RURAL,NUSTHULAPUR,INDURTHI,SUNDARAGIRI,2,COMMERCIAL,88,82,17196.0,184.804
KARIMNAGAR,KARIMNAGAR RURAL,NUSTHULAPUR,INDURTHI,ULLAMPALLY,2,COMMERCIAL,14,2,19.0,51.32
KARIMNAGAR,KARIMNAGAR RURAL,NUSTHULAPUR,NUTSULAPOOR,BALAIAHPALLY,2,COMMERCIAL,2,1,16.0,3.0
KHAMMAM,KHAMMAM,KOTHALINGALA,KOTHALINGALA,REPALLEWADATHANDA-KM,2,COMMERCIAL,1,1,52.0,4.0
KHAMMAM,KHAMMAM,KOTHALINGALA,KOTHALINGALA,RUKKI THANDA-KAM,2,COMMERCIAL,3,3,123.0,6.0
KHAMMAM,KHAMMAM,KOTHALINGALA,KOTHALINGALA,SATHANI  GUDEM-KAM,2,COMMERCIAL,16,9,1797.0,29.23
KHAMMAM,KHAMMAM,KOTHALINGALA,KOTHALINGALA,SUKKI THANDA-KAM,2,COMMERCIAL,1,1,15.0,2.0
KHAMMAM,KHAMMAM,KOTHALINGALA,KOTHALINGALA,TALLAGUDEM-KAM,2,COMMERCIAL,41,34,4630.0,90.32
KHAMMAM,KHAMMAM,KOTHALINGALA,KOTHALINGALA,TEKULA PALLY-KAM,2,COMMERCIAL,1,1,17.0,1.0
KHAMMAM,KHAMMAM,KOTHALINGALA,KOTHALINGALA,TEKULA THANDA-KAM,2,COMMERCIAL,6,2,48.0,5.47
KHAMMAM,KHAMMAM,PEDDA GOPATHI,CHINTHAKANI,ANANTHASAGAR,2,COMMERCIAL,18,13,419.0,28.231
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,NELAKONDAPALLY,ANASAGARAM,2,COMMERCIAL,20,2,2929.0,31.2
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,NELAKONDAPALLY,BUDHARAM,2,COMMERCIAL,21,20,1326.0,33.55
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,NELAKONDAPALLY,BYRANPALLY,2,COMMERCIAL,28,3,152.0,34.405
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,NELAKONDAPALLY,CH MADARAM,2,COMMERCIAL,121,105,13828.0,217.09
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,NELAKONDAPALLY,GUVVLAGUDEM,2,COMMERCIAL,25,2,18.0,41.1
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,NELAKONDAPALLY,KATTU KACHARAM,2,COMMERCIAL,17,2,3467.0,36.255
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,NELAKONDAPALLY,KONGARA,2,COMMERCIAL,7,6,262.0,14.8
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,NELAKONDAPALLY,KOTHAKOTHURU,2,COMMERCIAL,40,36,5800.0,86.82
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,NELAKONDAPALLY,MANGAPURAMTANDA,2,COMMERCIAL,39,29,5340.0,71.16
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,YEDULAPURAM,NAIDUPETA,2,COMMERCIAL,109,107,8303.0,190.26
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,YEDULAPURAM,PEDDA THANDA,2,COMMERCIAL,114,111,16104.0,296.48
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,YEDULAPURAM,SAI PRABATH NAGAR,2,COMMERCIAL,67,64,7206.0,138.83
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,YEDULAPURAM,SAPTAGIRI NAGAR,2,COMMERCIAL,93,88,9283.0,210.23
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,YEDULAPURAM,SATYANARAYANA PURAM,2,COMMERCIAL,37,35,3488.0,141.14
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,YEDULAPURAM,TELDARPALLI,2,COMMERCIAL,82,4,6065.0,123.63
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,YEDULAPURAM,WGL X ROAD,2,COMMERCIAL,272,266,32185.0,589.371
KHAMMAM,SATHUPALLY,PENUBALLY,KALLURU,BATHULAPALLY,2,COMMERCIAL,31,5,4098.0,64.71
KHAMMAM,SATHUPALLY,PENUBALLY,KALLURU,CHANDRUPATLA,2,COMMERCIAL,76,64,8505.0,102.068
KHAMMAM,SATHUPALLY,PENUBALLY,KALLURU,CHANDYA THANDA,2,COMMERCIAL,1,1,102.0,1.0
